time,calanoids,rotifers,nanophytoplankton,picophytoplankton
448.9,0.57088,1.4267,0.15534,0.63002
452.25,0.53609,1.26203,0.26552,0.42437
455.6,0.57844,0.94442,0.25071,0.37466
458.95,0.5892,0.65597,0.552,0.5709
462.3,0.83018,0.45387,0.67616,0.54772
465.65,0.88337,0.32813,1.07039,0.47964
469,1.07872,0.30905,1.28063,0.2962
472.35,1.22375,0.31926,1.39533,0
475.7,1.34418,0.32775,1.40576,0
479.05,1.45661,0.33064,0.83744,0
482.4,1.40586,0.30069,0.37149,0
485.75,1.44828,0.28006,0.49033,0
489.1,1.3792,0.40584,0.68305,0
492.45,1.16155,0.34431,0.3903,0
495.8,1.07185,0.27072,0.71354,0.409
499.15,1.03464,0.21749,0.6677,0.67897
502.5,1.03912,0.28053,0.83959,0.70194
505.85,1.0863,0.4268,0.83946,0.55862
509.2,0.96553,0.45209,0.83929,0.42894
512.55,1.10435,0.39195,0.84245,0.69729
515.9,1.34029,0.30098,0.83866,0.35571
519.25,1.26093,0.30224,0.70922,0.34992
522.6,1.30945,0.35494,0.83604,0.21316
525.95,1.27221,0.30081,0.70821,0.2491
529.3,1.26759,0.30047,0.59579,0.27389
532.65,1.17415,0.28041,0.70358,0.29552
536,0.99128,0.30077,0.70516,0.1294
539.35,0.93447,0.25993,0.66862,0.10384
542.7,0.95386,0.26568,0.86854,0.17891
546.05,1.01678,0.25772,1.09794,0.27429
549.4,1.07305,0.30743,1.04742,0.34452
552.75,1.05199,0.35823,1.32863,0.35025
556.1,1.20957,0.44206,1.2084,0.37941
559.45,1.39832,0.4794,0.84828,0.42864
562.8,1.53735,0.47265,0.49505,0.5
566.15,1.54148,0.50255,0.58917,0.64721
569.5,1.00918,0.48735,0.47458,0.65705
572.85,0.96881,0.35487,0.99103,0.50185
576.2,0.95207,0.27277,1.12927,0.37473
579.55,0.92907,0.23673,1.38846,0.28632
582.9,1.13211,0.36575,1.59264,0.31023
586.25,1.5179,0.40371,1.45569,0.21016
589.6,1.75844,0.41692,0.72737,0.20738
592.95,1.78639,0.36926,0.50153,0.29669
596.3,1.39126,0.28644,0.35286,0.25304
599.65,0.92733,0.48015,0.35288,0.40069
603,0.55984,0.2799,0.35352,0.51847
606.35,0.52858,0.25795,0.65922,0.49487
609.7,0.4532,0.21007,0.69984,0.42769
613.05,0.32847,0.30129,0.49282,0.32374
616.4,0.28884,0.2826,0.47617,0.25212
619.75,0.65622,0.22215,1.11387,0.33602
623.1,0.52009,0.25614,1.18899,0.35184
626.45,0.36907,0.3032,1.10328,0.35251
629.8,0.5099,0.27849,0.80811,0.28635
633.15,0.47685,0.22747,0.69962,0.21251
636.5,0.203,0.12318,0.65779,0.23542
639.85,0.1608,0,0.68486,0.28307
643.2,0.14757,0,0.69153,0.28573
646.55,0.07267,0.19234,0.68836,0.22835
649.9,0.09131,0.24443,0.82158,0.2636
653.25,0.15669,0.22171,0.99979,0.33536
656.6,0.16731,0.24266,0.99968,0.25481
659.95,0.11738,0.30726,0.94157,0.31916
663.3,0,0.28117,0.79626,0.34355
666.65,0,0.19357,0.85006,0.29306
670,0,0,0.70629,0.21022
673.35,0,0,1.72262,0.20791
676.7,0,0,2.10864,0.1808
680.05,0,0,1.67862,0.17706
683.4,0,0,1.68006,0.17674
686.75,0,0,1.98075,0.16637
690.1,0,0,1.77,0.17516
693.45,0,0,1.46599,0.15503
696.8,0,0,0.86914,0.09128
700.15,0,0,0,0
703.5,0,0,0,0
706.85,0,0,0,0
710.2,0.51393,0.59641,0,0
713.55,0.64166,0.74083,0,0
716.9,0.75775,1.01483,0,0
720.25,0.88154,1.24231,0.35535,0
723.6,0.90433,1.62788,0.56062,0.25673
726.95,1.01194,1.86707,0.73831,0.38799
730.3,1.22209,1.79196,0.83792,0.50198
733.65,0.8989,1.63425,0.7049,0.58779
737,0.87089,1.48222,0.68947,0.45428
740.35,0.75312,1.54039,0.52182,0
743.7,0.84267,1.44086,0.40616,0
747.05,0.77099,1.11437,0.35473,0
750.4,0.7935,1.24286,0.28952,0
753.75,0.71633,1.03577,0.08654,0
757.1,0.57031,1.2934,0,0
760.45,0.63143,1.44636,0,0
763.8,0.69756,1.87754,0,0
767.15,0.69802,1.90071,0,0
770.5,0.82937,1.56901,0,0
773.85,0.82033,1.44603,0,0
777.2,0.81746,1.23956,0.43767,0.36764
780.55,0.86916,1.35354,0.56202,0.4721
783.9,0.95529,1.12451,0.34187,0.28717
787.25,1.05755,1.17822,0.37139,0.41811
790.6,1.08762,1.39415,0.44788,0.59698
793.95,0.73743,1.15429,0.36106,0.39781
797.3,0.58485,1.10308,0.34712,0.41387
800.65,0.56053,1.15059,0.46492,0.48079
804,0.49476,1.18976,0.49875,0.44761
807.35,0.58717,1.02044,0.55273,0.48071
810.7,0.49809,0.98351,0.74529,0.58391
814.05,0.45458,0.90367,0.80886,0.69457
817.4,0.42138,1.03518,0.66429,0.56643
820.75,0.51956,1.10791,1.16863,0.42521
824.1,0.59112,1.00679,0.87686,0.35125
827.45,0.62403,1.00575,0.84954,0.29829
830.8,0.92607,0.95793,0.76361,0.29679
834.15,0.81419,0.65122,0.65507,0.25556
837.5,1.21411,0.58811,0.4812,0.22595
840.85,1.06207,0.40165,0.62782,0.99321
844.2,1.00313,0.39697,0.41492,0.51802
847.55,1.06699,0.3547,0.49074,0.5758
850.9,1.1588,0.43149,0.4235,0.13369
854.25,0.96182,0.40022,0.35441,0.13949
857.6,1.07252,0.36262,0.41749,0.17353
860.95,0.95996,0.27479,0.41984,0.20174
864.3,0.87001,0.21904,0.42203,0.28992
867.65,1.0303,0,1.02523,0.25374
871,0.82565,0,0.5258,0.23218
874.35,0.80742,0,0.44767,0.1628
877.7,0.80588,0,0.31908,0.13556
881.05,0.73364,0.04405,0.35299,0.12466
884.4,0.64872,0.25895,0.33585,0.09643
887.75,0.72066,0.25114,0.25124,0.10432
891.1,0.73367,0.22195,0.27503,0.12638
894.45,0.65541,0.23515,0.36794,0.18136
897.8,0.75973,0.23567,0.45902,0.20649
901.15,0.84461,0.27689,0.49914,0.2128
